no_in,no_out,gallery
700,774,The American Wing
400,406,Ancient Near Eastern Art
370,380,Arms and Armor
350,358,"Arts of Africa, Oceania, and the Americas"
200,253,Asian Art
1,20,The Cloisters
980,981,The Costume Institute
690,693,Drawings and Prints
100,138,Egyptian Art
600,644,European Paintings
800,812,European Paintings
814,827,European Paintings
500,556,European Sculpture and Decorative Arts
150,176,Greek and Roman Art
450,464,Islamic Art
950,962,The Robert Lehman Collection
300,307,Medieval Art
813,813,Modern and Contemporary Art
828,830,Modern and Contemporary Art
900,925,Modern and Contemporary Art
680,681,Musical Instruments
683,684,Musical Instruments
850,852,Photographs
